time,homeplayer,awayplayer,homescore,awayscore,set1homescore,set1awayscore,set2homescore,set2awayscore,set3homescore,set3awayscore,set4homescore,set4awayscore,set5homescore,set5awayscore,nset
13.04.2023,Djokovic N.,Musetti L.,1,2,6,4,5,7,4,6,0,0,0,0,5
03.03.2023,Djokovic N.,Medvedev D.,0,2,4,6,4,6,0,0,0,0,0,0,3
02.03.2023,Djokovic N.,Hurkacz H.,2,0,6,3,7,5,0,0,0,0,0,0,3
01.03.2023,Djokovic N.,Griekspoor T.,2,0,6,2,6,3,0,0,0,0,0,0,3
29.01.2023,Tsitsipas S.,Djokovic N.,0,3,3,6,6,4,7,7,6,5,7,7,5
27.01.2023,Djokovic N.,Paul T.,3,0,7,5,6,1,6,2,0,0,0,0,5
25.01.2023,Rublev A.,Djokovic N.,0,3,1,6,2,6,4,6,0,0,0,0,5
23.01.2023,De Minaur A.,Djokovic N.,0,3,2,6,1,6,2,6,0,0,0,0,5
21.01.2023,Dimitrov G.,Djokovic N.,0,3,6,7,7,9,3,6,4,6,0,0,5
19.01.2023,Couacaud E.,Djokovic N.,1,3,1,6,7,7,6,5,2,6,0,6,5
08.01.2023,Djokovic N.,Korda S.,2,1,6,8,7,10,7,7,6,3,6,4,5
07.01.2023,Djokovic N.,Medvedev D.,2,0,6,3,6,4,0,0,0,0,0,0,3
06.01.2023,Djokovic N.,Shapovalov D.,2,0,6,3,6,4,0,0,0,0,0,0,3
05.01.2023,Djokovic N.,Halys Q.,2,0,7,7,6,3,7,7,6,5,0,0,5
23.12.2022,Djokovic N.,Ofner S.,2,1,6,5,7,7,6,0,10,7,0,0,5
20.11.2022,Ruud C.,Djokovic N.,0,2,5,7,3,6,0,0,0,0,0,0,3
18.11.2022,Medvedev D.,Djokovic N.,1,2,3,6,7,7,6,5,6,2,7,7,5
16.11.2022,Rublev A.,Djokovic N.,0,2,4,6,1,6,0,0,0,0,0,0,3
06.11.2022,Rune H.,Djokovic N.,2,1,3,6,6,3,7,5,0,0,0,0,5
05.11.2022,Djokovic N.,Tsitsipas S.,2,1,6,2,3,6,7,7,6,4,0,0,5
04.11.2022,Djokovic N.,Musetti L.,2,0,6,0,6,3,0,0,0,0,0,0,3
03.11.2022,Djokovic N.,Khachanov K.,2,0,6,4,6,1,0,0,0,0,0,0,3
09.10.2022,Tsitsipas S.,Djokovic N.,0,2,3,6,4,6,0,0,0,0,0,0,3
08.10.2022,Djokovic N.,Medvedev D.,1,1,4,6,7,8,6,6,0,0,0,0,5
07.10.2022,Khachanov K.,Djokovic N.,0,2,4,6,3,6,0,0,0,0,0,0,3
06.10.2022,Van De Zandschulp B.,Djokovic N.,0,2,3,6,1,6,0,0,0,0,0,0,3
02.10.2022,Djokovic N.,Cilic M.,2,0,6,3,6,4,0,0,0,0,0,0,3
01.10.2022,Djokovic N.,Safiullin R.,2,0,6,1,7,7,6,3,0,0,0,0,5
30.09.2022,Djokovic N.,Pospisil V.,2,0,7,7,6,5,6,3,0,0,0,0,5
25.09.2022,Djokovic N.,Auger-Aliassime F.,0,2,3,6,6,3,7,7,0,0,0,0,5
10.07.2022,Djokovic N.,Kyrgios N.,3,1,4,6,6,3,6,4,7,7,6,3,5
08.07.2022,Djokovic N.,Norrie C.,3,1,2,6,6,3,6,2,6,4,0,0,5
05.07.2022,Djokovic N.,Sinner J.,3,2,5,7,2,6,6,3,6,2,6,2,5
03.07.2022,Djokovic N.,van Rijthoven T.,3,1,6,2,4,6,6,1,6,2,0,0,5
01.07.2022,Djokovic N.,Kecmanovic M.,3,0,6,0,6,3,6,4,0,0,0,0,5
29.06.2022,Djokovic N.,Kokkinakis T.,3,0,6,1,6,4,6,2,0,0,0,0,5
31.05.2022,Djokovic N.,Nadal R.,1,3,2,6,6,4,2,6,6,4,7,7,5
29.05.2022,Djokovic N.,Schwartzman D.,3,0,6,1,6,3,6,3,0,0,0,0,5
27.05.2022,Djokovic N.,Bedene A.,3,0,6,3,6,3,6,2,0,0,0,0,5
25.05.2022,Djokovic N.,Molcan A.,3,0,6,2,6,3,7,7,6,4,0,0,5
15.05.2022,Djokovic N.,Tsitsipas S.,2,0,6,0,7,7,6,5,0,0,0,0,5
14.05.2022,Djokovic N.,Ruud C.,2,0,6,4,6,3,0,0,0,0,0,0,3
13.05.2022,Djokovic N.,Auger-Aliassime F.,2,0,7,5,7,7,6,1,0,0,0,0,5
12.05.2022,Djokovic N.,Wawrinka S.,2,0,6,2,6,2,0,0,0,0,0,0,3
07.05.2022,Djokovic N.,Alcaraz C.,1,2,7,7,6,5,5,7,6,5,7,7,5
06.05.2022,Djokovic N.,Hurkacz H.,2,0,6,3,6,4,0,0,0,0,0,0,3
05.05.2022,Djokovic N.,Murray A.,-,-,0,0,0,0,0,0,0,0,0,0,3
24.04.2022,Djokovic N.,Rublev A.,1,2,2,6,7,7,6,4,0,6,0,0,5
23.04.2022,Djokovic N.,Khachanov K.,2,1,4,6,6,1,6,2,0,0,0,0,5
21.04.2022,Djokovic N.,Kecmanovic M.,2,1,4,6,6,3,6,3,0,0,0,0,5
24.02.2022,Djokovic N.,Vesely J.,0,2,4,6,6,4,7,7,0,0,0,0,5
23.02.2022,Djokovic N.,Khachanov K.,2,0,6,3,7,7,6,2,0,0,0,0,5
03.12.2021,Cilic M.,Djokovic N.,0,2,4,6,2,6,0,0,0,0,0,0,3
27.11.2021,Djokovic N.,Struff J-L.,2,0,6,2,6,4,0,0,0,0,0,0,3
19.11.2021,Djokovic N.,Norrie C.,2,0,6,2,6,1,0,0,0,0,0,0,3
